Code,DisplayName,CodeSystem
719987009,Autosomal dominant limb girdle muscular dystrophy type 1D,SNOMED
719988004,Autosomal dominant limb girdle muscular dystrophy type 1E,SNOMED
719989007,Autosomal dominant limb girdle muscular dystrophy type 1F,SNOMED
719990003,Autosomal dominant limb girdle muscular dystrophy type 1G,SNOMED
771334000,Autosomal dominant limb-girdle muscular dystrophy type 1H,SNOMED
1222644009,Autosomal dominant mitochondrial myopathy with exercise intolerance,SNOMED
240075007,Autosomal dominant muscular dystrophy not predominantly limb girdle,SNOMED
240068006,Autosomal dominant muscular dystrophy with gene located at 5q31,SNOMED
240067001,Autosomal dominant muscular dystrophy with limb girdle distribution,SNOMED
770791000,Autosomal dominant neovascular inflammatory vitreoretinopathy,SNOMED
1264041000,Autosomal dominant osteopetrosis type 1,SNOMED
725050005,Autosomal dominant osteopetrosis type 2,SNOMED
827115000,Autosomal dominant progressive external ophthalmoplegia,SNOMED
1156857003,Autosomal dominant progressive external ophthalmoplegia type 1,SNOMED
1156858008,Autosomal dominant progressive external ophthalmoplegia type 2,SNOMED
1156855006,Autosomal dominant progressive external ophthalmoplegia type 3,SNOMED
1156856007,Autosomal dominant progressive external ophthalmoplegia type 4,SNOMED
1156853004,Autosomal dominant progressive external ophthalmoplegia type 5,SNOMED
732948003,Autosomal dominant spastic paraplegia type 10,SNOMED
763374004,Autosomal dominant spastic paraplegia type 12,SNOMED
783698005,Autosomal dominant spastic paraplegia type 13,SNOMED
763375003,Autosomal dominant spastic paraplegia type 19,SNOMED
733029008,Autosomal dominant spastic paraplegia type 29,SNOMED
782670003,Autosomal dominant spastic paraplegia type 3,SNOMED
763068005,Autosomal dominant spastic paraplegia type 31,SNOMED
723819007,Autosomal dominant spastic paraplegia type 36,SNOMED
763369007,Autosomal dominant spastic paraplegia type 37,SNOMED
783622001,Autosomal dominant spastic paraplegia type 38,SNOMED
723820001,Autosomal dominant spastic paraplegia type 4,SNOMED
763069002,Autosomal dominant spastic paraplegia type 41,SNOMED
763070001,Autosomal dominant spastic paraplegia type 42,SNOMED
732949006,Autosomal dominant spastic paraplegia type 6,SNOMED
1187468005,Autosomal dominant spastic paraplegia type 73,SNOMED
1375927000,Autosomal dominant spastic paraplegia type 79A,SNOMED
785305006,Autosomal dominant spastic paraplegia type 8,SNOMED
1187465008,Autosomal dominant spastic paraplegia type 9A,SNOMED
1187466009,Autosomal dominant spastic paraplegia type 9B,SNOMED
1197524007,Autosomal recessive amyotrophic lateral sclerosis type 1,SNOMED
1237625002,Autosomal recessive cerebellar ataxia due to CWF19L1 deficiency,SNOMED
773498006,"Autosomal recessive cerebellar ataxia, epilepsy, intellectual disability syndrome due to TUD deficiency",SNOMED
783060009,"Autosomal recessive cerebellar ataxia, psychomotor delay syndrome",SNOMED
1186734006,Autosomal recessive complex spastic paraplegia due to Kennedy pathway dysfunction,SNOMED
1156848009,Autosomal recessive Emery-Dreifuss muscular dystrophy,SNOMED
1156822001,Autosomal recessive familial Parkinson disease,SNOMED
445388002,Autosomal recessive focal segmental glomerulosclerosis,SNOMED
1187279003,Autosomal recessive hereditary spastic paraplegia,SNOMED
1342372000,Autosomal recessive hyper-IgE syndrome due to ZNF341 deficiency,SNOMED
770901001,"Autosomal recessive intellectual disability, motor dysfunction, multiple joint contracture syndrome",SNOMED
773414009,Autosomal recessive intermediate Charcot-Marie-Tooth disease type C,SNOMED
1222704008,Autosomal recessive lethal neonatal axonal sensorimotor polyneuropathy,SNOMED
715341003,Autosomal recessive limb girdle muscular dystrophy type 2A,SNOMED
718179003,Autosomal recessive limb girdle muscular dystrophy type 2B,SNOMED
718176005,Autosomal recessive limb girdle muscular dystrophy type 2C,SNOMED
715340002,Autosomal recessive limb girdle muscular dystrophy type 2D,SNOMED
718850008,Autosomal recessive limb girdle muscular dystrophy type 2E,SNOMED
718177001,Autosomal recessive limb girdle muscular dystrophy type 2F,SNOMED
720522001,Autosomal recessive limb girdle muscular dystrophy type 2G,SNOMED
718180000,Autosomal recessive limb girdle muscular dystrophy type 2I,SNOMED
725042001,Autosomal recessive limb girdle muscular dystrophy type 2J,SNOMED
720523006,Autosomal recessive limb girdle muscular dystrophy type 2K,SNOMED
726616006,Autosomal recessive limb girdle muscular dystrophy type 2L,SNOMED
726618007,Autosomal recessive limb girdle muscular dystrophy type 2M,SNOMED
726617002,Autosomal recessive limb girdle muscular dystrophy type 2N,SNOMED
725043006,Autosomal recessive limb girdle muscular dystrophy type 2O,SNOMED
726614009,Autosomal recessive limb girdle muscular dystrophy type 2P,SNOMED
726615005,Autosomal recessive limb girdle muscular dystrophy type 2Q,SNOMED
732929002,Autosomal recessive limb girdle muscular dystrophy type 2S,SNOMED
732930007,Autosomal recessive limb girdle muscular dystrophy type 2T,SNOMED
783554002,Autosomal recessive limb girdle muscular dystrophy type 2U,SNOMED
725907002,Autosomal recessive limb girdle muscular dystrophy type 2Y,SNOMED
771302009,Autosomal recessive lower motor neuron disease with childhood onset,SNOMED
240073000,Autosomal recessive muscular dystrophy not predominantly limb girdle,SNOMED
240055003,Autosomal recessive muscular dystrophy with abnormal dystrophin-associated glycoprotein,SNOMED
240054004,Autosomal recessive muscular dystrophy with limb girdle distribution,SNOMED
764812008,Autosomal recessive myogenic arthrogryposis multiplex congenita,SNOMED
827117008,Autosomal recessive progressive external ophthalmoplegia,SNOMED
715491000,Autosomal recessive spastic paraplegia type 11,SNOMED
783094006,Autosomal recessive spastic paraplegia type 14,SNOMED
764686003,Autosomal recessive spastic paraplegia type 15,SNOMED
732932004,Autosomal recessive spastic paraplegia type 18,SNOMED
764734003,Autosomal recessive spastic paraplegia type 21,SNOMED
726608002,Autosomal recessive spastic paraplegia type 23,SNOMED
785304005,Autosomal recessive spastic paraplegia type 24,SNOMED
