Code,DisplayName,CodeSystem
451961000124103,Amputation of thumb of left hand,SNOMED
239580001,Amputation of thumb through distal phalanx,SNOMED
239579004,Amputation of thumb through interphalangeal joint,SNOMED
239577002,Amputation of thumb through metacarpophalangeal joint,SNOMED
1367735005,Amputation through phalanx of toe,SNOMED
250735000,Amylase/creatinine clearance ratio measurement,SNOMED
398228004,Anaesthesia consultation,SNOMED
386513007,Anaesthesia management,SNOMED
180352008,Anaesthetic without surgery,SNOMED
22781005,Anal cerclage,SNOMED
37924007,"Anal fistulectomy, subcutaneous",SNOMED
235369008,Anal myectomy,SNOMED
225379003,Analogue behavioural assessment,SNOMED
444287002,Analysis using pyrosequencing,SNOMED
737855007,Anaphylaxis care,SNOMED
386512002,Anaphylaxis management,SNOMED
235528003,Anastomosis main bile duct to stomach,SNOMED
307638000,Anastomosis of ascending colon to rectum,SNOMED
307655001,Anastomosis of caecum to rectum,SNOMED
175398004,Anastomosis of circle of Willis,SNOMED
174562004,Anastomosis of common bile duct to transposed jejunum,SNOMED
307640005,Anastomosis of descending colon to rectum,SNOMED
32687007,Anastomosis of extracranial-intracranial arteries,SNOMED
265448002,Anastomosis of hepatic duct to transposed jejunum and insertion of tubal prosthesis,SNOMED
1217162007,Anastomosis of left internal thoracic artery to first obtuse marginal branch of circumflex branch of left coronary artery,SNOMED
1217161000,Anastomosis of left internal thoracic artery to mid portion of anterior descending branch of left coronary artery,SNOMED
1217158001,Anastomosis of left internal thoracic artery to proximal portion of anterior descending branch of left coronary artery,SNOMED
1217157006,Anastomosis of left internal thoracic artery to second diagonal branch of anterior descending branch of left coronary artery,SNOMED
261486001,Anastomosis of left main bronchus to end of trachea,SNOMED
303565004,Anastomosis of pharynx to oesophagus,SNOMED
261489008,Anastomosis of pulmonary venous confluence to connecting vein,SNOMED
1144889004,Anastomosis of right internal thoracic artery to ramus intermedius artery,SNOMED
449113004,Anastomosis of superior vena cava to pulmonary artery and reconstruction of right ventricular outflow tract,SNOMED
30670000,"Anastomosis of thoracic artery to coronary artery, double",SNOMED
236166004,Anastomotic repair of ureter,SNOMED
41751005,Anatomic measurement,SNOMED
410322005,Anatomy/physiology case management,SNOMED
401078001,ANCA pattern,SNOMED
704991006,Anchoring of endotracheal tube,SNOMED
388636001,Anchovy specific IgE antibody measurement,SNOMED
175933003,Anderson-Hynes pyeloplasty,SNOMED
51993007,Aneurysmectomy of aortic arch,SNOMED
83538007,Aneurysmectomy of aortic arch with anastomosis,SNOMED
4252008,Aneurysmectomy with graft replacement by interposition,SNOMED
712558003,Anger management therapy,SNOMED
22174005,Angiectomy with anastomosis of abdominal vein,SNOMED
1287800005,Angiography of artery of brain,SNOMED
175411008,Angiography of artery of circle of Willis,SNOMED
5191000087101,Angiography of bilateral brachial arteries,SNOMED
1379959003,Angiography of bilateral internal carotid arteries,SNOMED
764988004,Angiography of cervical portion of right internal carotid artery,SNOMED
764984002,Angiography of left external carotid artery,SNOMED
4641000087100,Angiography of right brachial artery,SNOMED
764982003,Angiography of right internal carotid artery,SNOMED
241260004,Angiography of testicular artery,SNOMED
104521003,Angiotensin II measurement,SNOMED
104522005,Angiotensinogen measurement,SNOMED
448757004,Angulation osteotomy of diaphysis and external fixation,SNOMED
178942009,Angulation periarticular division of bone,SNOMED
388813007,Anisakis specific IgE antibody measurement,SNOMED
401221002,Ankle brachial pressure index,SNOMED
10688003,Anodic stripping voltammetry measurement,SNOMED
195459001,Anorectal myomectomy,SNOMED
5728008,Anoscopy for removal of foreign body,SNOMED
104523000,Anserine measurement,SNOMED
450486009,Antegrade colonic enema through appendicostomy,SNOMED
169721009,Antenatal 36 week examination,SNOMED
169723007,Antenatal 38 week examination,SNOMED
169724001,Antenatal 39 week examination,SNOMED
169725000,Antenatal 40 week examination,SNOMED
169711001,Antenatal booking examination,SNOMED
390786002,Antenatal HIV screening,SNOMED
1303710009,Antenatal prevention of fetal injury of brain,SNOMED
717801000,Antenatal screening for fetal growth retardation,SNOMED
169698000,Antenatal syphilis screening,SNOMED
169670003,Antenatal ultrasound scan at 17-22 weeks,SNOMED
425551008,Antenatal ultrasound scan for possible abnormality,SNOMED
252948004,Antepartum cardiotochography,SNOMED
231597005,Anterior lamellar reconstruction of eyelid,SNOMED
719217005,Anterior lumbar interbody fusion,SNOMED
289060008,Anterior resection of rectal prolapse,SNOMED
779191000168102,Anterior sacral corpectomy,SNOMED
252821004,Anterior segment fluorescein angiography,SNOMED
1352009,Anterior spinal rhizotomy,SNOMED
52972006,Anterior tarsal wedge osteotomy,SNOMED
274969000,Anterior tracheostomy,SNOMED
314487008,Anterior vaginal repair using mesh,SNOMED
413628001,Anti BPI antibody level,SNOMED
413733005,Anti calcium channel blocking antibody level,SNOMED
69649005,Anti DNase B test,SNOMED
414084007,Anti elastase antibody level,SNOMED
414631007,Anti lysozyme antibody level,SNOMED
1662201000168105,Anti-c titration,SNOMED
1539041000168107,Anti-DFS70 IgG antibody measurement,SNOMED
1662041000168103,Anti-Fy^b^ titration,SNOMED
359781006,Anti-hyaluronidase assay,SNOMED
359897007,Anti-IgA assay,SNOMED
401104002,Anti-neutrophil cytoplasmic antibody screen,SNOMED
935801000168107,Anti-NXP2 antibody measurement,SNOMED
394928002,Anti-Purkinje cell cytoplasmic type 1 antibody level,SNOMED
1662271000168100,Anti-s titration,SNOMED
165882003,Anti-T autoantibody measurement,SNOMED
1199351000168108,Antibiotic prophylaxis for postoperative infection,SNOMED
1182701000168100,Antibiotic prophylaxis to organ donor,SNOMED
104232004,"Antibiotic sensitivity, agar diffusion method",SNOMED
35435005,"Antibody absorption, RBC, cold with autoabsorption",SNOMED
20688004,"Antibody detection, RBC, saline, high protein and anti-human globulin technique",SNOMED
41206009,"Antibody elution, alcohol",SNOMED
4815000,"Antibody identification, RBC antibody panel, enzyme, 2 stage technique including anti-human globulin",SNOMED
103959006,"Antibody screen, cold absorption",SNOMED
103958003,"Antibody screen, serum",SNOMED
32253007,"Antibody titration, anti-human globulin technique",SNOMED
43872009,Antibody to centromere measurement,SNOMED
30521008,Antibody to gastric parietal cell measurement,SNOMED
43206000,Antibody to NSpI measurement,SNOMED
440353004,Antibody to nuclease measurement,SNOMED
32660008,Antibody to PM-1 measurement,SNOMED
87459003,Antibody to SM measurement,SNOMED
117639000,Antidiuretic identification,SNOMED
274502001,Antihaemophilic factor transfusion,SNOMED
397622007,Antimicrobial activity measurement,SNOMED
413563004,Antineutrophil antibody level,SNOMED
769063007,Antipsychotic medicine review,SNOMED
7161000179101,Antireflux procedure associated oesophagomyotomy,SNOMED
359779009,Antistreptococcal hyaluronidase titre,SNOMED
85188009,"Antithrombin III assay, immunologic",SNOMED
8645007,Aorta-coronary sinus shunt,SNOMED
306991000,Aortic dissection protocol CT with contrast,SNOMED
232825003,Aortic valve cusp resection and repair with circumferential annuloplasty,SNOMED
29819009,Aortocoronary bypass of one coronary artery,SNOMED
90487008,Aortocoronary bypass of two coronary arteries,SNOMED
304997004,Apically repositioned periodontal flap with osseous surgery,SNOMED
1335908001,Apixaban therapy,SNOMED
38491000,Apnoea monitor removal,SNOMED
14603002,Apnoea monitor surveillance,SNOMED
276732005,Apnoeic oxygenation,SNOMED
49586007,Appendicocaecostomy,SNOMED
442737009,Appendicovesicostomy,SNOMED
312040009,Application for social services funding,SNOMED
179210002,Application of balanced suspension traction,SNOMED
424065005,Application of breast shell,SNOMED
180433003,Application of caustic to lesion,SNOMED
1388419005,Application of circular external fixation device to femur,SNOMED
239694007,Application of collar and cuff sling,SNOMED
15631002,"Application of dressing, minor",SNOMED
712499007,Application of focused rigidity cast,SNOMED
239680006,Application of forearm cast brace,SNOMED
239683008,Application of forearm cast brace with wrist hinges,SNOMED
180318005,Application of Futura splint,SNOMED
1259292001,Application of glass-ionomer dental material to dentine of tooth following fracture of tooth,SNOMED
